"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","421","can add new todo items","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","27","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","213","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","425",".blur() - blur off a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","149",".scrollIntoView() - scroll an element into view","Actions","2025-11-30","passed","2025-11-30","","","",""
"","133","cy.root() - query the root DOM element","Querying","2025-11-30","passed","2025-11-30","","","",""
"","117",".not() - remove DOM elements from set of DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","148",".trigger() - trigger an event on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","117",".next() - get next sibling DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","1168","cy.go() - go back or forward in the browser's history","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","143","finds element by class name regex","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","796",".uncheck() - uncheck a checkbox element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","366",".add() - create a custom command","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.Commands","",""
"","392","cy.getCookie() - get a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","1114","Cypress.Promise - instantiate a bluebird promise","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","167",".and() - chain multiple assertions together","Assertions","2025-11-30","passed","2025-11-30","","Implicit Assertions","",""
"","730","cy.request() - make an XHR request","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","120",".within() - query DOM elements within a specific element","Querying","2025-11-30","passed","2025-11-30","","","",""
"","217","Cypress.$ - call a jQuery method","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","528",".as() - alias a DOM element for later use","Aliasing","2025-11-30","passed","2025-11-30","","","",""
"","20","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","324","cy.request() with query parameters","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","1338",".as() - alias a route for later use","Aliasing","2025-11-30","passed","2025-11-30","","","",""
"","115","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2025-11-30","passed","2025-11-30","","Cypress.Screenshot","",""
"","332","cy.get() - query DOM elements","Querying","2025-11-30","passed","2025-11-30","","","",""
"","1142","cy.intercept() - route responses to matching requests","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","386","cy.exec() - execute a system command","Misc","2025-11-30","passed","2025-11-30","","","",""
"","122",".parents() - get parent DOM elements from DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","119","can throw any error","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","378","cy.wait() - wait for a specific route","Waiting","2025-11-30","passed","2025-11-30","","","",""
"","3933",".type() - type into a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","125","cy.title() - get the title","Window","2025-11-30","passed","2025-11-30","","","",""
"","121",".nextAll() - get all next sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","379","cy.request() - verify response using BDD syntax","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","423","cy.fixture() - load a fixture","Files","2025-11-30","passed","2025-11-30","","","",""
"","329",".children() - get child DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","336","cy.hash() - get the current URL hash","Location","2025-11-30","passed","2025-11-30","","","",""
"","1639","retries the should callback until assertions pass","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","330",".each() - iterate over an array of elements","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","126","assert - assert shape of an object","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","590","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","123","Get CPU architecture name of underlying OS","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.arch","",""
"","138","cy.contains() - query DOM elements with matching content","Querying","2025-11-30","passed","2025-11-30","","","",""
"","334","can filter for completed tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","393","cy.writeFile() - write to a file","Files","2025-11-30","passed","2025-11-30","","","",""
"","206",".dblclick() - double click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","119",".prevAll() - get all previous sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","124",".invoke() - invoke a function on the current subject","Connectors","2025-11-30","passed","2025-11-30","","","",""
"","805",".check() - check a checkbox or radio element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","189","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","120","invokes a callback function with the current subject","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","2895","cy.viewport() - set the viewport size and dimension","Viewport","2025-11-30","passed","2025-11-30","","","",""
"","277","cy.window() - get the global window object","Window","2025-11-30","passed","2025-11-30","","","",""
"","4552","cy.wait() - wait for a specific amount of time","Waiting","2025-11-30","passed","2025-11-30","","","",""
"","113","Control what is printed to the Command Log","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.log","",""
"","113","Get underlying OS name","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.platform","",""
"","132",".find() - get descendant DOM elements of the selector","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","232","cy.clearCookie() - clear a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","116","Get current spec information","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.spec","",""
"","237","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","199","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","118",".nextUntil() - get next sibling DOM elements until next el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","294","can filter for uncompleted tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","133","cy.fixture() or require - load a fixture","Files","2025-11-30","passed","2025-11-30","","","",""
"","117",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","642","cy.request() - save response in the shared test context","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","133","matches unknown text between two elements","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","151",".debug() - enable or disable debugging","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.Cookies","",""
"","119",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","193","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","143","cy.clearAllCookies() - clear all browser cookies","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","120","yields the returned value to the next command","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","120","yields the value yielded by the last Cypress command inside","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","444","cy.visit() - visit a remote url","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","2535","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","130","cy.url() - get the current URL","Location","2025-11-30","passed","2025-11-30","","","",""
"","1948",".click() - click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","225",".rightclick() - right click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","702","cy.screenshot() - take a screenshot","Misc","2025-11-30","passed","2025-11-30","","Cypress.Screenshot","",""
"","120",".eq() - get a DOM element at a specific index","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","154","cy.readFile() - read file contents","Files","2025-11-30","passed","2025-11-30","","","",""
"","148","cy.location() - get window.location","Location","2025-11-30","passed","2025-11-30","","","",""
"","284","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","542","cy.request() - pass result to the second request","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","652","best practices - selecting elements","Querying","2025-11-30","passed","2025-11-30","","","",""
"","112","Get current version of Cypress being run","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.version","",""
"","895",".select() - select an option in a <select> element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","273","can delete all completed tasks","example to-do app","2025-11-30","passed","2025-11-30","","with a checked task","",""
"","143",".last() - get last DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
