"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","989","cy.getCookie() - get a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","268","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","131","matches unknown text between two elements","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","148",".filter() - get DOM elements that match the selector","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","192","cy.contains() - query DOM elements with matching content","Querying","2025-11-30","passed","2025-11-30","","","",""
"","129","finds element by class name regex","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","571","cy.exec() - execute a system command","Misc","2025-11-30","passed","2025-11-30","","","",""
"","706",".clear() - clears an input or textarea element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","219","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2025-11-30","passed","2025-11-30","","","",""
"","4760","cy.wait() - wait for a specific amount of time","Waiting","2025-11-30","passed","2025-11-30","","","",""
"","167","Get and set configuration options","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.config()","",""
"","124","Control what is printed to the Command Log","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.log","",""
"","175",".nextUntil() - get next sibling DOM elements until next el","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","160",".nextAll() - get all next sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","490",".blur() - blur off a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","289","cy.getCookies() - get browser cookies for the current domain","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","134","can throw any error","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","229",".siblings() - get all sibling DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","980","displays two todo items by default","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","148","cy.wrap() - wrap an object","Misc","2025-11-30","passed","2025-11-30","","","",""
"","890",".check() - check a checkbox or radio element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","212","cy.clearAllCookies() - clear all browser cookies","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","500",".should() - make an assertion about the current subject","Assertions","2025-11-30","passed","2025-11-30","","Implicit Assertions","",""
"","515",".as() - alias a DOM element for later use","Aliasing","2025-11-30","passed","2025-11-30","","","",""
"","246",".rightclick() - right click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","474","cy.get() - query DOM elements","Querying","2025-11-30","passed","2025-11-30","","","",""
"","190",".focus() - focus on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","2084",".click() - click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","144",".last() - get last DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","378","cy.window() - get the global window object","Window","2025-11-30","passed","2025-11-30","","","",""
"","279",".dblclick() - double click on a DOM element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","149","cy.root() - query the root DOM element","Querying","2025-11-30","passed","2025-11-30","","","",""
"","153","cy.readFile() - read file contents","Files","2025-11-30","passed","2025-11-30","","","",""
"","195",".debug() - enable or disable debugging","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.Cookies","",""
"","479","can add new todo items","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","206","cy.getAllCookies() - get all browser cookies","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","513","cy.visit() - visit a remote url","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","1637","retries the should callback until assertions pass","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","147","cy.fixture() or require - load a fixture","Files","2025-11-30","passed","2025-11-30","","","",""
"","585","cy.reload() - reload the page","Navigation","2025-11-30","passed","2025-11-30","","","",""
"","137",".within() - query DOM elements within a specific element","Querying","2025-11-30","passed","2025-11-30","","","",""
"","257","can check off an item as completed","example to-do app","2025-11-30","passed","2025-11-30","","","",""
"","166",".not() - remove DOM elements from set of DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","257","cy.clearCookie() - clear a browser cookie","Cookies","2025-11-30","passed","2025-11-30","","","",""
"","118","assert - assert shape of an object","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","354","cy.request() with query parameters","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","312","Cypress.$ - call a jQuery method","Utilities","2025-11-30","passed","2025-11-30","","","",""
"","142","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","879",".uncheck() - uncheck a checkbox element","Actions","2025-11-30","passed","2025-11-30","","","",""
"","135","expect - make an assertion about a specified subject","Assertions","2025-11-30","passed","2025-11-30","","Explicit Assertions","",""
"","152",".next() - get next sibling DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","23","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","183","cy.location() - get window.location","Location","2025-11-30","passed","2025-11-30","","","",""
"","129","Get underlying OS name","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.platform","",""
"","156",".parent() - get parent DOM element from DOM elements","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","155","cy.url() - get the current URL","Location","2025-11-30","passed","2025-11-30","","","",""
"","1101","cy.intercept() - route responses to matching requests","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","119","yields the original subject without return","Connectors","2025-11-30","passed","2025-11-30","",".then()","",""
"","1415","cy.request() - make an XHR request","Network Requests","2025-11-30","passed","2025-11-30","","","",""
"","877",".as() - alias a route for later use","Aliasing","2025-11-30","passed","2025-11-30","","","",""
"","252",".scrollIntoView() - scroll an element into view","Actions","2025-11-30","passed","2025-11-30","","","",""
"","499","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","124","Get current version of Cypress being run","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.version","",""
"","140","Get CPU architecture name of underlying OS","Cypress APIs","2025-11-30","passed","2025-11-30","","Cypress.arch","",""
"","2539","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2025-11-30","passed","2025-11-30","","","",""
"","176",".prev() - get previous sibling DOM element","Traversal","2025-11-30","passed","2025-11-30","","","",""
"","167",".find() - get descendant DOM elements of the selector","Traversal","2025-11-30","passed","2025-11-30","","","",""
